work_id,subject
164628,Still-Life
164641,Still-Life
26577,Still-Life
26579,Still-Life
26581,Still-Life
164824,Still-Life
26585,Still-Life
167375,Marine Art/Maritime
167710,Marine Art/Maritime
167719,Marine Art/Maritime
167478,Marine Art/Maritime
167489,Marine Art/Maritime
199319,Marine Art/Maritime
167415,Marine Art/Maritime
167728,Marine Art/Maritime
167424,Marine Art/Maritime
167511,Marine Art/Maritime
206594,Marine Art/Maritime
167388,Marine Art/Maritime
167460,Marine Art/Maritime
167397,Marine Art/Maritime
167469,Marine Art/Maritime
4779,Nude
5046,Lovers
5046,Nude
23313,Marine Art/Maritime
23315,Marine Art/Maritime
23315,Summer
23317,Marine Art/Maritime
23331,Marine Art/Maritime
23335,Marine Art/Maritime
23337,Marine Art/Maritime
23337,Seascapes
23339,Marine Art/Maritime
23341,Marine Art/Maritime
23341,Seascapes
23343,Marine Art/Maritime
23347,Marine Art/Maritime
23347,Seascapes
23349,Marine Art/Maritime
23351,Marine Art/Maritime
23351,Seascapes
195279,Flowers
195099,Flowers
195288,Flowers
26699,Marine Art/Maritime
26701,Marine Art/Maritime
26703,Marine Art/Maritime
26705,Marine Art/Maritime
26707,Marine Art/Maritime
26709,Marine Art/Maritime
26711,Marine Art/Maritime
26711,Seascapes
26713,Marine Art/Maritime
26715,Marine Art/Maritime
26717,Marine Art/Maritime
26719,Marine Art/Maritime
200912,Still-Life
200922,Still-Life
171578,Still-Life
206850,Still-Life
26791,Still-Life
171589,Still-Life
26795,Musics
26795,Still-Life
26797,Still-Life
171548,Still-Life
171558,Still-Life
171568,Still-Life
26801,Still-Life
207408,Landscape Art
26521,Churches/Temples/Mosques
26521,Landscape Art
26523,Landscape Art
26525,Landscape Art
26527,Landscape Art
28461,Landscape Art
28461,Seascapes
28463,Landscape Art
28465,Landscape Art
28467,Landscape Art
28467,Summer
28469,Landscape Art
28469,Rivers/Lakes
28471,Landscape Art
28471,Rivers/Lakes
28473,Landscape Art
28475,Landscape Art
7983,Dogs
7987,Lovers
7987,Seascapes
7987,Summer
7999,Autumn/Fall
5173,Landscape Art
5173,Rivers/Lakes
5181,Landscape Art
204220,Landscape Art
204220,Spring
5185,Landscape Art
5187,Landscape Art
5227,Landscape Art
5231,Landscape Art
5237,Landscape Art
5239,Landscape Art
5249,Landscape Art
129381,Nude
195460,Still-Life
195432,Flowers
6733,Autumn/Fall
198332,Rivers/Lakes
198321,Bridges
198321,Rivers/Lakes
6831,Spring
6835,Winter
6837,Winter
6841,Winter
6819,Winter
6845,Rivers/Lakes
6847,Rivers/Lakes
208564,Bridges
6849,Bridges
6849,Rivers/Lakes
6851,Rivers/Lakes
6863,Rivers/Lakes
6783,Bridges
6783,Rivers/Lakes
6781,Bridges
6781,Rivers/Lakes
208586,Rivers/Lakes
6891,Rivers/Lakes
23402,Landscape Art
198888,Landscape Art
6991,Nude
7015,Portraits
7071,Nude
7073,Nude
7095,Nude
25623,Still-Life
25625,Bridges
198923,Jesus Christ
28028,Portraits
206976,Portraits
27205,Gardens
6078,Summer
6086,Winter
198582,Gardens
6094,Winter
6096,Autumn/Fall
6132,Spring
6178,Autumn/Fall
6180,Spring
6220,Winter
6246,Winter
6252,Still-Life
6254,Summer
6256,Spring
6260,Gardens
6268,Nude
6270,Spring
6282,Gardens
6288,Gardens
6288,Spring
6292,Gardens
6292,Winter
